SolverPartName	circuitoId	ATTiny85	Teensy32	Details
ACS712	564923	TRUE	TRUE	https://github.com/bbtinkerer/I2C_ACS712
ACS7123v3	!564923	TRUE	TRUE	https://github.com/bbtinkerer/I2C_ACS712
ACS7125v	!564923	TRUE	TRUE	https://github.com/bbtinkerer/I2C_ACS712
AdafruitMiniThermalPrinter	947731	FALSE	TRUE	
ADXL335	9269	FALSE	TRUE	
ADXL345	9836	TRUE	TRUE	http://beta.ivc.no/wiki/index.php/ATtiny85_8MHz_and_ADXL345_via_I2C_with_Arduino_code
AM2320	656839	TRUE	TRUE	https://www.instructables.com/id/Attiny85-Wireless-Weather-Sensor/
AM2320-3v3	!656839	TRUE	TRUE	
AM2320-5v	!656839	TRUE	TRUE	
Arduino101	13787	FALSE	FALSE	
Arduino1016v	!13787	FALSE	FALSE	
Arduino1019v	!13787	FALSE	FALSE	
Arduino101BarrelJack12v	!13787	FALSE	FALSE	
Arduino101Lipo7v4	!13787	FALSE	FALSE	
Arduino101USB	!13787	FALSE	FALSE	
ArduinoGemma	666531	FALSE	FALSE	
ArduinoGemmaBarrel12v	!666531	FALSE	FALSE	
ArduinoGemmaBatteryEx	!666531	FALSE	FALSE	
ArduinoGemmaLipo3v7	!666531	FALSE	FALSE	
ArduinoGemmaUSB	!666531	FALSE	FALSE	
ArduinoLeonardo	11286	FALSE	FALSE	
ArduinoLeonardo12v	!11286	FALSE	FALSE	
ArduinoLeonardo12vBarrel	!11286	FALSE	FALSE	
ArduinoLeonardo6v	!11286	FALSE	FALSE	
ArduinoLeonardo9v	!11286	FALSE	FALSE	
ArduinoLeonardoLipo7v4	!11286	FALSE	FALSE	
ArduinoLeonardoUSB	!11286	FALSE	FALSE	
ArduinoLilypad	910397	FALSE	FALSE	
ArduinoMega	11061	FALSE	FALSE	
ArduinoMega12v	!11061	FALSE	FALSE	
ArduinoMega6v	!11061	FALSE	FALSE	
ArduinoMega9v	!11061	FALSE	FALSE	
ArduinoMegaBarrelJack12v	!11061	FALSE	FALSE	
ArduinoMegaLipo7v4	!11061	FALSE	FALSE	
ArduinoMegaUSB	!11061	FALSE	FALSE	
ArduinoMicro	891983	FALSE	FALSE	
ArduinoMicro12v	!891983	FALSE	FALSE	
ArduinoMicro6v	!891983	FALSE	FALSE	
ArduinoMicro9v	!891983	FALSE	FALSE	
ArduinoMicroLipo7v4	!891983	FALSE	FALSE	
ArduinoMicroUSB	!891983	FALSE	FALSE	
ArduinoNano	11022	FALSE	FALSE	
ArduinoNanoEx	!11022	FALSE	FALSE	
ArduinoNanoUSB	!11022	FALSE	FALSE	
ArduinoProMini3v3	11114	FALSE	FALSE	
ArduinoProMini3v3EXT	!11114	FALSE	FALSE	
ArduinoProMini3v3USB	!11114	FALSE	FALSE	
ArduinoProMini5v	11113	FALSE	FALSE	
ArduinoProMini5vEXT	!11113	FALSE	FALSE	
ArduinoProMini5vUSB	!11113	FALSE	FALSE	
ArduinoUno	11021	FALSE	FALSE	
ArduinoUno12v	!11021	FALSE	FALSE	
ArduinoUno6v	!11021	FALSE	FALSE	
ArduinoUno9v	!11021	FALSE	FALSE	
ArduinoUnoBarrelJack12v	!11021	FALSE	FALSE	
ArduinoUnoLipo7v4	!11021	FALSE	FALSE	
ArduinoUnoUSB	!11021	FALSE	FALSE	
ATMega328P	1000328	FALSE	FALSE	
ATMega328P3v3	!1000328	FALSE	FALSE	
ATMega328P5v	!1000328	FALSE	FALSE	
Battery4xAA	12083	TRUE	TRUE	
Battery4xAA_BarrelJack	9835	TRUE	TRUE	
Battery8xAA	783868	TRUE	TRUE	
Battery9v	10218	TRUE	TRUE	
BLEHM10	395589	TRUE	TRUE	https://github.com/micahpearlman/zero-tiny-ble
BLEHM10_HardwareSerial	!395589	FALSE	TRUE	
BLEHM10_SoftwareSerial	!395589	TRUE	TRUE	
Blower12v	11270	TRUE	TRUE	
BME280SF	13676	TRUE	TRUE	https://github.com/ClemensRiederer/TinyLoRa-BME280
BME680	164792	FALSE	TRUE	
BME680-3v3	!164792	FALSE	TRUE	
BME680-5v	!164792	FALSE	TRUE	
BMP180	11824	TRUE	TRUE	https://www.instructables.com/id/Reading-the-BMP180-Pressure-Sensor-With-an-Attiny8/
BMP280	999979	TRUE	TRUE	https://www.instructables.com/id/Mini-weather-station-with-Attiny85/
BMP2803v3	!999979	TRUE	TRUE	
BMP2805v	!999979	TRUE	TRUE	
BNO055	954493	FALSE	TRUE	
BNO0553v3	!954493	FALSE	TRUE	
BNO0555v	!954493	FALSE	TRUE	
BrushlessMotor	250754	TRUE	TRUE	
